视频认证,失败次数,投标人数,第一次成功借款时间,待还金额,标的等级,征信认证,代收金额,借款成功次数,逾期（1-15）还清次数,剩余可投金额,毕业院校,标编号,末笔投资时间,正常还清次数,学历认证,首次投资时间,借款人用户名,截止时间,逾期（15天以上）还清次数,学习形式,剩余待还本金,利率,流标次数,性别,年龄,期限,注册时间,撤标次数,借款金额,手机认证,学籍认证,户籍认证,成交日期,学历
0,0,308,2015-08-02T19:11:05.61,308509.78,AAA,0,1169197.94,230,1,26408,集美大学,41136122,2017-04-08T22:57:22.94,890,1,2017-04-07T09:55:30.31,xhy1222,1天21时19分,0,普通,302187.58,7,5,1,31,12,2013-12-14T16:33:47,12,50000,1,0,0,2000-01-01T00:00:00,本科
0,0,264,2015-08-07T19:46:58.967,347615.13,AAA,0,1396747.68,110,1,29874,华北水利水电大学,41145052,2017-04-08T22:56:20.787,285,1,2017-04-07T09:58:42.633,Bin_Wu,1天22时43分,0,成人,340515.15,7.01,0,1,28,12,2013-02-19T15:35:01,52,50000,1,0,0,2000-01-01T00:00:00,专升本
0,0,209,2017-03-25T19:09:53.573,70778.34,AAA,0,250244.74,9,0,33358,,41145203,2017-04-08T22:56:26.583,1,0,2017-04-07T09:58:44.047,pdu1200501182,1天22时45分,0,,68193.07,7,0,1,33,12,2016-06-13T20:39:22,1,50000,1,0,0,2000-01-01T00:00:00,
0,0,224,2015-04-23T23:53:35.817,207614.94,AAA,0,579756.91,226,0,32142,,41148289,2017-04-08T22:56:23.247,590,0,2017-04-07T10:00:51.49,aiyehui,1天23时15分,0,,203692.69,7,0,2,45,12,2014-06-25T12:42:39,46,50000,1,0,0,2000-01-01T00:00:00,
0,1,228,2016-01-10T17:37:56.11,33243.2,AAA,0,649750.61,55,1,32292,华南师范大学增城学院,41153903,2017-04-08T22:56:25.247,206,1,2017-04-07T10:03:58.367,hongji90,2天00时19分,0,普通,32582.39,7.01,6,1,27,12,2013-06-16T23:52:51,6,50000,1,0,1,2000-01-01T00:00:00,本科
0,0,4,,0,AA,0,0,0,0,2754,,41611312,2017-04-08T22:57:50.743,0,0,2017-04-08T22:56:56.013,pdu0328366430,9天23时51分,0,,0,10,0,2,23,3,2017-02-13T15:52:41,0,3500,1,0,0,2000-01-01T00:00:00,
0,0,3,,0,AA,0,0,0,0,1050,,41611006,2017-04-08T22:57:45.133,0,0,2017-04-08T22:57:06.617,pdu0163780328,9天23时49分,0,,0,10,0,1,30,3,2016-12-04T11:21:20,0,1500,1,0,0,2000-01-01T00:00:00,
0,0,12,2015-06-26T11:25:22.73,6613.63,AA,0,0,11,4,3130,,41610215,2017-04-08T22:56:40.48,84,0,2017-04-08T22:41:16.7,pdu25016121,14天23时41分,0,,6336.57,10,0,2,45,3,2015-06-26T08:43:17,0,4000,1,0,0,2000-01-01T00:00:00,
0,0,8,2015-07-13T10:04:42.623,0,AA,0,0,4,13,3500,,41609650,2017-04-08T22:56:55.11,27,0,2017-04-08T22:50:54.503,pdu86418801,14天23时34分,0,,0,10,8,1,31,3,2015-07-13T10:03:21,1,4000,1,0,0,2000-01-01T00:00:00,
0,0,1,2014-01-08T22:26:49.94,6646.95,AA,0,0,5,25,1609,,41611740,2017-04-08T22:56:58.07,26,0,2017-04-08T22:56:58.07,381139300,14天23时57分,0,,5840.87,10,7,1,36,3,2012-04-20T17:21:58,1,1659,1,0,0,2000-01-01T00:00:00,
0,0,11,,0,AA,0,0,0,0,9780,,41608791,2017-04-08T22:56:57.3,0,0,2017-04-08T22:41:47.017,pdu4342134400,19天23时27分,0,,0,10,0,2,25,3,2017-04-01T17:10:16,0,10500,1,0,0,2000-01-01T00:00:00,
0,0,11,,0,AA,0,0,0,0,4374,湖北经济学院法商学院,41609984,2017-04-08T22:56:58.533,0,1,2017-04-08T22:50:55.303,xianglin911,19天23时38分,0,普通,0,10,1,1,30,3,2014-04-14T03:11:02,0,5000,0,0,0,2000-01-01T00:00:00,本科
