videovalidate,failedcount,lendercount,firstsuccessborrowtime,owingamount,creditcode,creditvalidate,amounttoreceive,successcount,overduelesscount,remainfunding,graduateschool,listingid,lastbidtime,normalcount,certificatevalidate,fistbidtime,borrowname,deadlinetimeorremindtimestr,overduemorecount,studystyle,owingprincipal,currentrate,wastecount,gender,age,months,registertime,cancelcount,amount,phonevalidate,educatevalidate,nciicidentitycheck,auditingtime,educationdegree
0,0,654,2015-08-07T19:46:58.967,335709.3000,AAA,0,1392112.1800,110,1,3705.0000,华北水利水电大学,41145052,2017-04-09T13:01:59.127,287,1,2017-04-07T09:58:42.633,Bin_Wu,1天08时39分,0,成人,329017.6400,7.01,0,1,28,12,2013-02-19T15:35:01,52,50000.0000,1,0,0,2000-01-01T00:00:00,专升本
0,0,292,2017-03-25T19:09:53.573,70778.3400,AAA,0,249273.1200,9,0,27799.0000,,41145203,2017-04-09T13:00:14.687,1,0,2017-04-07T09:58:44.047,pdu1200501182,1天08时40分,0,,68193.0700,7,0,1,33,12,2016-06-13T20:39:22,1,50000.0000,1,0,0,2000-01-01T00:00:00,
0,0,327,2015-04-23T23:53:35.817,207614.9400,AAA,0,577458.3600,226,0,25138.0000,,41148289,2017-04-09T12:58:33.483,590,0,2017-04-07T10:00:51.49,aiyehui,1天09时10分,0,,203692.6900,7,0,2,45,12,2014-06-25T12:42:39,46,50000.0000,1,0,0,2000-01-01T00:00:00,
0,0,3,,0,AA,0,0,0,0,920.0000,,41667464,2017-04-09T13:01:51.83,0,0,2017-04-09T13:01:33.193,pdu2450876161,9天22时56分,0,,0,10,0,1,43,3,2017-04-08T22:50:37,0,1600.0000,1,0,0,2000-01-01T00:00:00,
0,0,12,2016-10-25T09:13:20.717,3369.3600,AA,0,0,3,1,1517.0000,,41675775,2017-04-09T13:02:29.133,23,0,2017-04-09T12:57:09.907,pdu6356153176,14天23时54分,0,,3000.0000,10,0,1,35,3,2016-10-21T11:28:07,1,3000.0000,1,0,0,2000-01-01T00:00:00,
0,0,20,,0,B,0,0,0,0,3505.0000,云南师范大学,41674986,2017-04-09T13:02:29.427,0,1,2017-04-09T13:02:21.38,pdu8244355121,19天23时47分,0,成人,0,18,0,2,24,6,2017-04-09T12:24:29,0,12000.0000,1,0,0,2000-01-01T00:00:00,专科
0,0,12,,0,AA,0,0,0,0,0.0000,天津工业大学,41674974,2017-04-09T13:02:27.07,0,1,2017-04-09T13:02:19.937,pdu5301188848,2017/4/9,0,研究生,0,12,1,1,30,12,2016-07-30T05:16:19,0,10000.0000,1,0,0,2017-04-09T13:02:27.607,硕士研究生
0,0,23,,0,AA,0,0,0,0,0.0000,,41674992,2017-04-09T13:02:27.937,0,0,2017-04-09T13:02:24.283,pdu81558748,2017/4/9,0,,0,12,0,2,27,12,2014-12-03T15:31:28,0,11000.0000,1,0,0,2017-04-09T13:02:29.407,
0,0,0,,0,AA,0,0,0,0,4250.0000,湖南化工职业技术学院,41675195,,0,1,,pdu5510346380,19天23时49分,0,普通,0,12,0,1,22,12,2017-04-09T02:38:22,0,4250.0000,1,0,0,2000-01-01T00:00:00,专科
0,0,36,,0,AA,0,0,0,0,6230.0000,,41664469,2017-04-09T13:00:23.313,0,0,2017-04-09T11:50:25.11,pdu8528863765,19天22时36分,0,,0,10,0,1,39,3,2016-04-22T12:09:14,0,9500.0000,1,0,0,2000-01-01T00:00:00,
